,sender,text,q_sender,q_text,datetime
0,Md. Hasib Ur Rahman,"VIP sites update at 22:00 on 26-01-2023

2G:3
GPKLKA2(Edotco): 21:54 26-01-23,Dalas Fashions Limited
GPKLG38(Edotco): 21:19 26-01-23,RFL
DHAPT11(Edotco): 13:57 26-01-23,Airport

3G:2
GPKLG38(Edotco): 21:17 26-01-23,RFL
DHAPT11(Edotco): 13:56 26-01-23,Airport

4G:2
GPKLG38(Edotco): 21:19 26-01-23,RFL
DHAPT11(Edotco): 13:56 26-01-23,Airport


@Saifuzzaman Saif vi, plz share RC of 02 site",,,2023-01-26 22:19
1,Md. Hasib Ur Rahman,Checking bhaiya,Alauddin Vai,"VIP sites update at 22:00 on 26-01-2023

2G:3


DHAPT11(Edotco): 13:57 26-01-23,Airport

3G:2
GPKLG38(Edotco): 21:17 26-01-23,RFL
DHAPT11(Edotco): 13:56 26-01-23,Airport

4G:2
GPKLG38(Edotco): 21:19 26-01-23,RFL
DHAPT11(Edotco): 13:56 26-01-23,Airport


 vi, plz share RC of 02 site",2023-01-26 22:19
2,Md. Hasib Ur Rahman,"DHAPT11 site restored...plz check


@Saifuzzaman Saif vi, urgent plz, 

Plz check if any operational issue",,,2023-01-26 22:19
3,Md. Hasib Ur Rahman,"GPKLKA2= some trx found hanged. after soft reset now up
GPKLG38= Site down due to power issue .DC low alarm found. Also Door open alarm found",Alauddin Vai,"VIP sites update at 22:00 on 26-01-2023

2G:3


DHAPT11(Edotco): 13:57 26-01-23,Airport

3G:2
GPKLG38(Edotco): 21:17 26-01-23,RFL
DHAPT11(Edotco): 13:56 26-01-23,Airport

4G:2
GPKLG38(Edotco): 21:19 26-01-23,RFL
DHAPT11(Edotco): 13:56 26-01-23,Airport


 vi, plz share RC of 02 site",2023-01-26 22:19
4,Md. Hasib Ur Rahman,"ok, thanks Bro",,,2023-01-26 22:19
5,Md. Hasib Ur Rahman,"Update of Site Down at 23:00 On 26-01-2023

Region: 2G/3G/4G
National: 19/7/25

DHK_M: 0/0/0
DHK_N: 2/1/5
DHK_S: 0/0/0
DHK_O: 2/2/5
CTG_M: 1/1/1
CTG_N: 1/0/1
CTG_S: 2/1/2
COM: 1/1/1
NOA: 2/0/2
SYL: 2/0/2
MYM: 1/1/1
BAR: 2/0/2
KHL: 1/0/1
KUS: 1/0/1
RAJ: 1/0/1
RANG: 0/0/0",,,2023-01-26 22:19
6,Md. Hasib Ur Rahman,Team waiting at airport,Saifuzzaman Saif,Checking bhaiya,2023-01-26 22:19
7,Md. Hasib Ur Rahman,,,,2023-01-26 22:19
8,Md. Hasib Ur Rahman,"2G: All cells are found up and taking traffic. No Packet loss observed at Abis. DL/UL Loss & VSWR found within acceptable range. ICM band (4+5) found normal as per Daily Statistics Report.

3G: All cells are found up and taking traffic. No Frame or Packet loss observed at IuB. DL/UL Loss, VSWR found within acceptable range. RRC Success rate and Speech success rate found in good range.
S8C1 (-85.4),S9C1(-90.9)& S2C1(-78.4) have RSSI degraded issue. Concern: SM-CC

4G: 
DHAPT11LL& DHAPT11LI cell are down due to Power Disturbance issue Power Disturbance(RRU-8_B3_1,E201021696 &RRU-9_B3_1,E201021811)//Current Too High - FieldReplaceableUnit=RRU-9_B3_1//.DHAPT11L21I NB=1/S8C1/S8C1 (1,1) Fiber Loss UL (UlLoss-DlLoss=5.61). Concern: e.co",Alauddin Vai,Team waiting at airport,2023-01-26 22:19
9,Md. Hasib Ur Rahman,Thanks Bro....,,,2023-01-26 22:19
10,Md. Hasib Ur Rahman,"26-Jan'23@22:30
BSC CSSR: No degradation
Voice Traffic: No degradation",,,2023-01-26 22:19
11,Md. Hasib Ur Rahman,Fiber incident update at 0:00_27/01,,,2023-01-26 22:19
12,Md. Hasib Ur Rahman,"Update of Site Down at 00:00 On 27-01-2023

Region: 2G/3G/4G
National: 21/7/24

DHK_M: 0/0/0
DHK_N: 4/2/7
DHK_S: 0/0/0
DHK_O: 2/2/3
CTG_M: 1/1/1
CTG_N: 1/0/1
CTG_S: 2/1/2
COM: 1/0/0
NOA: 3/0/3
SYL: 2/0/2
MYM: 0/0/0
BAR: 3/1/3
KHL: 1/0/1
KUS: 1/0/1
RAJ: 0/0/0
RANG: 0/0/0",,,2023-01-26 22:19
